               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.022595,            0.034675,           0.0024556,             0.99517,             0.99527,             0.99574,             0.75129,            0.017341,            0.022144,           0.0014423,           0.0064181,           0.0064181,           0.0064181
                 142,            0.021948,            0.036368,           0.0021845,             0.99676,             0.99527,             0.99579,              0.7719,            0.016724,            0.021865,           0.0013021,           0.0063764,           0.0063764,           0.0063764
                 143,            0.022082,            0.035872,            0.002508,             0.99661,                   1,             0.99567,             0.78403,            0.016825,            0.021594,           0.0013153,           0.0063347,           0.0063347,           0.0063347
                 144,            0.022479,            0.035277,           0.0022758,             0.99603,                   1,             0.99572,             0.78314,            0.017083,            0.021644,           0.0012189,            0.006293,            0.006293,            0.006293
                 145,            0.022629,            0.038312,           0.0021629,             0.99829,                   1,             0.99578,             0.80345,            0.015998,            0.020978,           0.0011604,           0.0062512,           0.0062512,           0.0062512
                 146,            0.021215,            0.034803,           0.0022237,             0.99822,             0.99977,             0.99574,             0.77644,            0.017135,            0.021946,           0.0011626,           0.0062093,           0.0062093,           0.0062093
                 147,            0.021908,            0.036648,           0.0022048,             0.99867,                   1,             0.99577,             0.78033,            0.016686,            0.021201,           0.0011073,           0.0061675,           0.0061675,           0.0061675
                 148,            0.021419,            0.034741,           0.0022725,             0.99738,                   1,             0.99579,              0.7849,            0.015802,            0.020686,           0.0010836,           0.0061256,           0.0061256,           0.0061256
                 149,            0.021593,            0.035256,           0.0021803,             0.99712,             0.99844,             0.99573,             0.79153,            0.015607,            0.021009,           0.0012493,           0.0060838,           0.0060838,           0.0060838
                 150,            0.020911,            0.035235,           0.0022042,             0.99485,             0.99691,             0.99526,             0.79048,             0.01572,            0.020951,           0.0017208,           0.0060419,           0.0060419,           0.0060419
                 151,            0.021035,            0.037122,            0.002425,             0.99476,              0.9957,             0.99546,             0.79017,            0.016201,             0.02137,            0.001644,               0.006,               0.006,               0.006
                 152,            0.021577,            0.036166,           0.0021101,             0.99582,             0.99318,             0.99578,             0.79673,            0.016533,            0.021364,           0.0011923,           0.0059581,           0.0059581,           0.0059581
